C_id,C_name,C_desc,C_place,C_funding_stage,C_industry,C_fund_size,C_link,C_img
1,Liminary,"Liminary is the AI-native knowledge management and recall tool.  With the product, it's seamless and easy to save knowledge in any format that it comes in - webpage, PDF, YouTube video, AI chats, desktop files, and more. Liminary then draws on your knowledge graph to help you do your work more efficiently.",USA,Idea (Pre-Seed),AI,$3m,https://liminary.io/,https://framerusercontent.com/images/jXQ0mbnMiBhvn1DHk0kOdKUoo2g.jpeg?
2,Wabi,"Wabi is reimagining how software is made and shared. We’re building the future of personal software — tiny, delightful mobile mini-apps that anyone can create, remix, and share instantly. Think vibe coding, but designed for everyday users, not developers — with sleek, playful consumer-grade interfaces that make building feel as natural as texting.",USA,Idea (Pre-Seed),Consumer,$20m,https://wabi.ai/,https://framerusercontent.com/images/tamOlRMOZyBtBEyp0ph0VDmg47g.jpg
3,Aniva Health,"Your personal Health Operating System: 140+ biomarkers, monthly supplement packs, expert guidance. Built for people who don't have time to guess.",Finland,Idea (Pre-Seed),Health & Wellness,$1m,https://aniva.health/,https://framerusercontent.com/images/2yLEEniRCYAa7Spf1dhqhQO6aI.jpeg
4,Item,"The AI-native system that understands your business, knows your customers, and does the work — Designed to replace your CRM.",USA,Idea (Pre-Seed),Productivity,$1m,https://www.item.app/,https://framerusercontent.com/images/aB5cMRtD9965PLwmYNnRBWeIuY.png
5,Lunos,"Lunos is an AI accounts receivable partner, not just a tool. It works alongside your finance team like an always-on colleague, chasing down invoices, handling customer replies, and driving results without the repetitive admin. Hiring in NYC and London, onsite.",USA,Idea (Pre-Seed),Fintech,$5m,https://www.lunos.ai/,https://framerusercontent.com/images/eok90qALZUzdBIyjsyKKgcoRyrM.jpeg
6,Nox Metals,"Nox Metals is building the fastest processing metals factory in North America. Their software runs quoting, scheduling, and operations to streamline production and reduce cost. They supply CNC shops with custom-cut material at unmatched speed and efficiency.",USA,Idea (Pre-Seed),Hardware,$4m,https://www.noxmetals.co/,https://framerusercontent.com/images/XBuf0dsTnPP1a7U6sANkS5cFOk.png
7,Cradle,Leverage AI to generate protein candidates and improve their properties. More breakthroughs in fewer experiments — guided by your own experimental data.,Netherlands,Scaling (Series B),Biotech,$73m,https://www.cradle.bio/,https://framerusercontent.com/images/9h1rHx8TRRQOlQ4Q5hrT51pr1qI.jpeg
8,Polars,"Polars is a lightning fast DataFrame library/in-memory query engine. Its embarrassingly parallel execution, cache efficient algorithms and expressive API makes it perfect for efficient data wrangling, data pipelines, snappy APIs and so much more.",Netherlands,Early revenue (Series A),DevTools,$21m,https://pola.rs/,https://framerusercontent.com/images/DHxdkKY952op0U4LGNukl3v6m7g.jpeg
9,KeyCard,"Keycard is on a mission to redefine machine identity for the Internet—helping developers seamlessly connect people, agents, and services across networks, clouds, and applications. As AI-driven workflows grow more complex, Keycard’s dynamic, identity-based credentials ensure every agent and service operates with precise, contextual permissions.",Canada,Early revenue (Series A),AI,$38m,https://www.keycard.ai/,https://framerusercontent.com/images/JXHFrSRD1z8sa7dRzgMCamVozNA.png
10,Othership,"Othership is a space for transformation. Explore the sauna to sweat, ice baths to drop-in and a commons to be yourself with others. Embark on a shared journey to regulate yourself and your emotions, in a world that can’t be regulated, and expect to shift your state in more ways than one.",Canada,Early revenue (Series A),Health & Wellness,$11m,https://www.othership.us/,https://framerusercontent.com/images/R5ziBGU2skBmcaofMYJD8fgQI.png
11,Eli Health,"Eli Health is building the real-time interface to the human body, making it possible to improve both daily and lifelong health through instant access to essential biological signals. Its flagship product, the Hormometer™, is the first instant hormone monitoring system—delivering results from a saliva sample to your phone in minutes.",Canada,Early revenue (Series A),Health & Wellness,$12m,https://eli.health/,https://framerusercontent.com/images/HiVVQ5TyBggw1LaSXHCOo9NfI.png
12,Lithic,"Lithic creates card issuing and payment infrastructure for technology companies that just works. We help some of the world’s fastest-growing digital banks, fintech companies, and software companies process billions in transactions annually.",USA,Growth (Series C/D),Fintech,$60m,https://www.lithic.com/,https://framerusercontent.com/images/8CBZTwNmqPlBwjaP4JGzBLpPBTA.jpeg
13,Speak,"Speak is a language learning app that sets users on the path to fluency with the world’s most advanced AI tutor. Built on the core learning philosophy of getting users speaking out loud as much as possible, Speak's AI language-learning experience encourages dynamic two-way dialogue through personalized content and real-time speech recognition.",USA,Growth (Series C/D),Education,$78m,https://www.speak.com/,https://framerusercontent.com/images/alPBHm4D6NhgFX9l6Rs93DhuL6Y.jpeg
14,Airbound,"Airbound is building the world's most advanced drones to reduce the cost of delivery by over 137x. By improving structural efficiency by 7x and aerodynamics by 6x, their drones create a world where no delivery costs more than a nickel.",India,Prototype (Seed),Aerospace,$9m,https://www.airbound.com/,https://framerusercontent.com/images/4X227n9YS4Td8b6HoBFVGSso.png
15,RockFi,"A French Fintech created in 2023, RockFi is redefining Private Wealth Management through its network of independent financial advisors and the technological development of its back- and middle-office.",France,Early revenue (Series A),Fintech,$19m,https://www.rockfi.fr/,https://framerusercontent.com/images/AKZQdpFcMDCqIK4GQHyKbnfbuEQ.jpeg
16,Pivot,"Pivot is the ultimate modern Source-to-Pay tool to help you keep your spend under control, reduce your vendors risk at scale and empower your business teams.",France,Scaling (Series B),Fintech,$40m,https://www.pivotapp.ai/,https://framerusercontent.com/images/P3pUhZoR1kbjnc9BsOK2SNiE4ZQ.jpeg
17,Rayan,"Rayon is a collaborative space design platform that allows designers to draw, share, and collaborate directly in their browsers. With Rayon, developers can design spaces faster than ever before, using block libraries, smart drawing features, and more, as well as seamlessly share their work and collect feedback and annotations. ",France,Prototype (Seed),Design,$4m,https://www.rayon.design/,https://framerusercontent.com/images/VSWxvD2naGjvC1uFosImGk8iozg.jpeg
18,Lyric,"At Lyric, we empower supply chain organizations to innovate on their own terms. The Lyric Studio harmonizes large data, advanced supply chain science, configurable workflows, and professional-grade apps all in one place. Whether using a Ready App, no-code configurations, or custom algorithms, we enable every team member to contribute to smarter, more sustainable supply chain solutions.",USA,Scaling (Series B),Transportation,$43m,https://startups.gallery/companies/lyric,https://framerusercontent.com/images/X1D3R2aP2wQoR3aVJxjYcjc4TLM.jpeg
19,Neko,Neko Health is a Swedish health-tech company co-founded in 2018 by Hjalmar Nilsonne and Daniel Ek. Neko's vision is to create a healthcare system that can help people stay healthy through preventive measures and early detection. This requires completely reimagining the patient's experience and incorporating the latest advances in sensors and AI.,Switzerland,Scaling (Series B),Health & Wellness,$260m,https://www.nekohealth.com/gb/en,https://framerusercontent.com/images/UIAB9G3Z2SuZ5B4TSKN4u2j5Q.jpeg
20,Tailscale,"For teams who want secure, private networks without weeks of setup and configuration, Tailscale makes it easy. Unlike existing corporate VPNs, Tailscale has no upfront cost, minimal latency, and works with their existing services.",Canada,Growth (Series C/D),Cybersecurity,$160m,https://tailscale.com/,https://framerusercontent.com/images/PxiZrmWpPgQe0eFJMR5SjhNc.jpeg
21,Mollie,"Mollie offers a single platform for businesses to get paid and manage their money. One that makes payments, reconciliation, reporting, fraud prevention, and financing simple for all – from startups to enterprises.",Netherlands,Growth (Series C/D),Fintech,$800m,https://www.mollie.com/,https://framerusercontent.com/images/jLDuIyWvviqLkLkSuOnkmTZcKs.jpeg
22,Rebellions,"Rebellions, a Korean AI accelerator startup, delivers industry-leading TPS/W through a dataflow architecture optimized for HBM and chiplet design.  We provide AI accelerators for datacenters—including cards, servers, and rack-scale systems—along with our proprietary full-stack software that natively supports PyTorch 2.x and vLLM",South Korea,Growth (Series C/D),Hardware,$250m,https://rebellions.ai/,https://framerusercontent.com/images/iVOQbUn5HyBxVywS6lpkrb6r8.jpeg
23,Wrtn,"Wrtn aims to become the next generation, natural language interface portal (first-screen) that people access to complete any given task. Wrtn intends to become the next local daily B2C platform by building a local autonomous agent. Wrtn’s mission is to “Bring AGI Closer to People''.",South Korea,Scaling (Series B),AI,$74m,https://wrtn.io/en,https://framerusercontent.com/images/W66dsu6LFX9KPRQssMjHpfIE.jpegm
24,Synthesia,"Synthesia is the #1 rated AI video communications platform. Thousands of companies use it to create videos in 140 languages, saving up to 80% of their time and budget. Trusted by Zoom, Xerox, Teleperformance, Amazon and more.",UK,Growth (Series C/D),AI,$200m,https://www.synthesia.io/?r=0,https://framerusercontent.com/images/eavWnahM16bjjbmvQP0Slnz4c.jpeg
25,Gradient Labs,"Gradient Labs is the conversational AI platform transforming customer operations in financial services. Headquartered in London, Gradient Labs is powering forward-thinking financial innovators like Yonder, Plum, Sling Money, Lendable, Nala, Penfold, Zego, and more, with AI that understands the complexity and nuance of regulated industries.",UK,Early revenue (Series A),AI,$13m,https://gradient-labs.ai/,https://framerusercontent.com/images/eavWnahM16bjjbmvQP0Slnz4c.jpeg
26,Ben,"Ben is the world's first intelligent benefits platform, bringing innovation, flexibility, and automation to an industry ready for transformation. Our AI-powered platform simplifies global benefits management for companies like Mondelez, Pleo, Itsu, Trainline and HSBC. Offer benefits that work for every employee, whether desk-based, remote, or on-the-go.",UK,Early revenue (Series A),HR & Recruiting,$16m,https://www.thanksben.com/,https://framerusercontent.com/images/SCP8rwGrB8xs8IOoxpoLdjZMoQ.jpeg
27,Instant,"Instant is a technology company on a mission to power the world's most innovative brands, driving their revenue and retention on autopilot.",Australia,Early revenue (Series A),Productivity,$18m,https://www.instant.one/,https://framerusercontent.com/images/g4grtzRnIZFkD706LrhBpZJcRA.jpeg
28,Adora,"Adora helps world-class teams like Canva, Notion and Linktree visualize their entire product experience. Every user-journey, every screen, every interaction. Your entire product mapped for you in real-time, overlaid with realtime screenshots, visual analytics and session replays.",Australia,Prototype (Seed),Analytics,$10m,https://www.adora.so/,https://framerusercontent.com/images/OmsQPi73jiRcWNXsONf5qEXenA.jpeg
29,Prior Labs,"Prior Labs is building breakthrough foundation models that understand spreadsheets and databases - the lifeblood of science and business. While foundation models have transformed text and images, tabular data has remained largely untouched. We're tackling this opportunity to revolutionize how we approach scientific discovery, medical research, financial modeling, and business intelligence.",Germany,Prototype (Seed),Analytics,$10m,https://priorlabs.ai/,https://framerusercontent.com/images/Sp6QU6rD9nzGzfvj4y3LESk104.jpeg
30,Rows,"At Rows, we create tools that make computation accessible to everyone. Our vision is to enable 1 billion spreadsheet users to easily build the tools they need to work better. All in a familiar interface - a spreadsheet - and without code.",Germany,Scaling (Series B),Productivity,$16m,https://rows.com/product,https://framerusercontent.com/images/kxqYhrqkCaEEeIbpDPzJmgE39dc.jpeg
31,n8n,n8n is a workflow automation platform that uniquely combines AI capabilities with business process automation. The platform enables connection to any app or API while maintaining the flexibility of code with the speed of no-code.,Germany,Growth (Series C/D),DevTools,$180m,https://n8n.io/,https://framerusercontent.com/images/IawUiDcLqqQtYard3S5S9mE8GE.jpeg
32,The Mobile-First Company,"The Mobile-First Company builds an integrated suite of mobile apps for small teams. Its first product, Allo, is an AI phone system now used by 5,000 businesses across the world, with strong traction in the United States.",France,Prototype (Seed),Productivity,$12m,https://www.themobilefirstcompany.com/,https://framerusercontent.com/images/xDSCuxlVDGLyqYk6b8BDinKYg.png
33,SuperSonik,"Supersonik AI Agents deliver instant, personalized, interactive, and multi-language product demos at scale, combining the discovery, qualification, and demonstration steps for a faster sales cycle and increased revenue. They are replacing outdated sales cycles with smart, dynamic AI-driven experiences.",Spain,Prototype (Seed),AI,$5m,https://supersonik.ai/,https://framerusercontent.com/images/SVmsR6muNxGK4n24vGetyIY.png
34,Orbio,"Our mission is to help HR teams stop firefighting and start leading — with AI agents that unlock their strategic power. We put an infinite AI-based workforce at your fingertips to eliminate repetitive tasks, create dynamic talent data, and deliver true business impact: faster hiring, reduced turnover, better talent, greater results.",Spain,Prototype (Seed),HR & Recruiting,$7m,https://orbio.work/,https://framerusercontent.com/images/O4gMH8dW3YetHPlWuhbID3Y6vs.jpeg
35,Enode,"Enode’s APIs enable you to instantly connect users’ energy devices — including EVs, solar inverters, home batteries and thermostats — to your app. You can surface data, and then take action with it. Our out-of-the-box algorithms allow you to control and optimize your users’ energy devices.",Norway,Early revenue (Series A),Energy,$15m,https://enode.com/,https://framerusercontent.com/images/7WCaJRQOUNo7XVnSo4qRYPYKxc.jpeg
36,Atlas,"Atlas is the new standard for GIS software. Simple and powerful, right in the browser. Step into Atlas to explore, analyze and share geospatial data. The software aims to give analysts, of any skill a chance to create maps and analyze geospatial data rapidly, together with their co-members.",Norway,Prototype (Seed),Design,$8m,https://atlas.co/,https://framerusercontent.com/images/sDTL0Eg6ruCYyuW3vFDPhzsr23I.jpeg
37,Tines,"Tines’ workflow and AI orchestration platform enables businesses to operate more effectively, mitigate risk, reduce tech debt, and do the work that matters most. Build, run, and monitor your most important workflows with the platform loved by the world’s leading security-minded companies.",Ireland,Growth (Series C/D),Cybersecurity,$125m,https://www.tines.com/,https://framerusercontent.com/images/MU81QFOGQlLr6FFMHLbMVlynb8Y.jpeg
38,Evervault,"At Evervault, we're obsessed with saving developers time securing sensitive data, specifically payment data. We make it incredibly easy to tokenize cards, optimize payment margins, achieve PCI compliance, or quickly spin-up card products.",Ireland,Scaling (Series B),Cybersecurity,$60m,https://evervault.com/,https://framerusercontent.com/images/ZDFFHAHE9VsPiS3WTvAhLSd0lY.jpeg
39,&Open,"&Open is a gifting platform that sends digital and physical gifts at scale from brands to people around the world — boosting customer loyalty, retention, and engagement across sales, marketing, and CX teams, all from one powerful platform.",Ireland,Early revenue (Series A),Productivity,$26m,https://andopen.co/,https://framerusercontent.com/images/wxvRGFiyHR3uuS9mqqQQHoaDn6M.jpeg
40,Loop,"Loop is a comprehensive returns management platform designed to help businesses streamline and automate their return processes. Loop offers a range of features that enable businesses to manage returns, exchanges, and refunds seamlessly. They offer return portals, real-time tracking, and fraud prevention capabilities too.",USA,Scaling (Series B),Retail,$65m,https://www.loopreturns.com/,https://framerusercontent.com/images/OPNSpMf3NYBcbxviRjlviH4zRfg.jpeg
41,Better Stack,Better Stack’s mission is to help developers in building a better internet by making powerful observability tools that are beautifully designed and a joy to use. Making it easier to ship better and more reliable software faster.,Czech Republic,Early revenue (Series A),DevTools,$19m,https://betterstack.com/,https://framerusercontent.com/images/13QnB9JNKBAIFoVGrfQ8x84bac.jpeg
42,Light,"Light is the new way to run multinational finances for modern technology companies.   Run AR, AP, expenses, bookkeeping, and financial reporting automatically across all your entities — without the chaos of multiple systems. Crafted and built by the designers and engineers behind world-class companies like Spotify, X, AWS, Klarna, Google and Shopify, we empower multinational finances with a joyful user experience like no other.",Denmark,Early revenue (Series A),Fintech,$30m,https://light.inc/,https://framerusercontent.com/images/BmDGLjWLrVf9WA94kzwJA5a8qq0.jpeg
43,Teton,"Teton is a Danish AI company in the healthcare sector. We develop cutting-edge deep learning and computer vision products to empower caregivers to do more with less. At Teton, we're revolutionizing the nursing experience. Our mission is to reignite nurses' passion for the art of patient care without the stress of being overworked or understaffed, the uncertainty of unpreparedness, or the burden of tedious administrative work.",Denmark,Early revenue (Series A),Healthcare,$20m,https://www.teton.ai/,https://framerusercontent.com/images/GYwm5Hpd20fgGaSRf5QM14hKM.jpeg
44,Campus,"Campus is on a mission to maximize access to a world-class education. A new kind of college, Campus offers accredited, career-focused degree programs to kickstart your education. We prioritize student success by providing resources to nurture their academic experience from day one through graduation.",USA,Scaling (Series B),Education,$46m,https://campus.edu/,https://framerusercontent.com/images/ZqzLwGjYEbkgGGlQDORyjNJHk.jpeg
45,Varda,"From life-saving pharmaceuticals to more powerful fiber optics, there is a world of products used on Earth today that can only be manufactured in space. Varda is designing and building the infrastructure needed to make low Earth orbit accessible, from in-orbit production equipment to reliable reentry capsules. ",USA,Growth (Series C/D),Aerospace,$187m,https://www.varda.com/,https://framerusercontent.com/images/705mcIm4q9Ermm4D2jbJ3q6y14.jpg
46,EliseAI,"EliseAI empowers housing and healthcare organizations with powerful automation and conversational AI, streamlining conversations, enhancing customer engagement, and delivering unparalleled efficiency across housing and property management operations.",USA,Pre-IPO (Series E+),AI,$250m,https://www.eliseai.com/,https://framerusercontent.com/images/MH970mRQHOtI3QfmV0zUUwGfR8.jpeg
47,VoidZero,"VoidZero is building a unified high-performance toolchain for JavaScript: including parser, transformer, resolver, linter, formatter, minifier, bundler, test runner, and meta framework support. Their mission is to make the next generation of JavaScript developers more productive than ever before.",Singapore,Early revenue (Series A),DevTools,$13m,https://voidzero.dev/,https://framerusercontent.com/images/mWBSiurdgnaq17ecmWaLpg0D0.png
48,Airalo,"Airalo is the world’s first eSIM store for travelers to access over 200+ eSIMs at the most affordable, local rates from around the world, all via eSIM-compatible smartphone, tablet, or PC. Airalo offers you both connectivity and freedom - you’ll never have to carry multiple SIM cards or change your number again, no matter where you are in the world.",Singapore,Growth (Series C/D),Travel,$200m,https://www.airalo.com/,https://framerusercontent.com/images/6xlWEhQIqETulqRHBrY7eINmP88.jpeg
49,Cohere,"Cohere is the leading security-first enterprise AI company. We build cutting-edge foundation models and end-to-end AI products designed to solve real-world business problems. We partner closely with companies to deliver seamless integration, full customization, and easy-to-use solutions for their workforce and customers. Our all-in-one platform offers enterprises the highest levels of data security, privacy and optionality to deploy across all major cloud providers, private cloud environments, or on-premises.",Canada,Growth (Series C/D),AI,$500m,https://cohere.com/,https://framerusercontent.com/images/cOIBVfXEG9rTrUy1LMOXtfZdrPs.jpeg
